"Customization","Personalizzazione"
"Please login to your account to raise a customization request","Accedi al tuo account per presentare una richiesta di personalizzazione"
"Go to Login","Vai al login"
"Email","E-mail"
"Password","Parola d'ordine"
"Show Password","Mostra password"
"Customization details","Dettagli personalizzazione"
"Name","Nome"
"Phone","Telefono"
"Query","Interrogazione"
"I'm not a robot","Non sono un robot"
"Submit","Invia"
"This is a required field.","Questo è un campo obbligatorio."
"Please enter a valid email address","Si prega di inserire un indirizzo email valido"
"Enter a valid phone number!","Inserisci un numero di telefono valido!"
"Request Sent Successfully.","Richiesta inviata con successo"
"Please enter a valid email address (Ex: johndoe@domain.com).","Inserisci un indirizzo email valido (es: johndoe@domain.com)."
"Please enter at least 10 characters.","Inserisci almeno 10 caratteri."
"Please enter no more than 15 characters.","Si prega di inserire non più di 15 caratteri."
"Customer Login","accesso cliente"
"Registered Customers","Clienti registrati"
"If you have an account, sign in with your email address.","Se hai un account, accedi con il tuo indirizzo email."
"Sign In","Registrazione"
"New Customers","Nuovi clienti"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creare un account ha molti vantaggi: controlla più velocemente, mantieni più di un indirizzo, traccia gli ordini e altro ancora."
"Create an Account","Creare un account"
"You can't do product customization  right now.","Non puoi eseguire la personalizzazione del prodotto in questo momento."
