"Customization","Personnalisation"
"Please login to your account to raise a customization request","Veuillez vous connecter à votre compte pour faire une demande de personnalisation"
"Go to Login","Aller à la connexion"
"Email","E-mail"
"Password","Mot de passe"
"Show Password","Montrer le mot de passe"
"Customization details","Détails de personnalisation"
"Name","Nom"
"Phone","Téléphoner"
"Query","Requête"
"I'm not a robot","Je ne suis pas un robot"
"Submit","Soumettre"
"This is a required field.","Ceci est un champ obligatoire."
"Please enter a valid email address","S'il vous plaît, mettez une adresse email valide"
"Enter a valid phone number!","Entrez un numéro de téléphone valide !"
"Request Sent Successfully.","Demande envoyée avec succès"
"Please enter a valid email address (Ex: johndoe@domain.com).","Veuillez saisir une adresse e-mail valide (Ex : johndoe@domain.com)."
"Please enter at least 10 characters.","Veuillez entrer au moins 10 caractères."
"Please enter no more than 15 characters.","Veuillez ne pas saisir plus de 15 caractères."
"Customer Login","Connexion client"
"Registered Customers","Clients enregistrés"
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
"Sign In","S'identifier"
"New Customers","Nouveaux clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La création d'un compte présente de nombreux avantages : paiement plus rapide, conservation de plusieurs adresses, suivi des commandes, etc."
"Create an Account","Créer un compte"
"You can't do product customization  right now.","Vous ne pouvez pas personnaliser le produit pour le moment."
