"Customization","Customization"
"Please login to your account to raise a customization request","Please login to your account to raise a customization request"
"Go to Login","Go to Login"
"Email","Email"
"Password","Password"
"Show Password","Show Password"
"Customization details","Customization details"
"Name","Name"
"Phone","Phone"
"Query","Query"
"I'm not a robot","I'm not a robot"
"Submit","Submit"
"This is a required field.","This is a required field."
"Please enter a valid email address","Please enter a valid email address"
"Enter a valid phone number!","Enter a valid phone number!"
"Request Sent Successfully.","Request Sent Successfully."
"Please enter a valid email address (Ex: johndoe@domain.com).","Please enter a valid email address (Ex: johndoe@domain.com)."
"Please enter at least 10 characters.","Please enter at least 10 characters."
"Please enter no more than 15 characters.","Please enter no more than 15 characters."
"Customer Login","Customer Login"
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Sign In","Sign In"
"New Customers","New Customers"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"Create an Account","Create an Account"
"You can't do product customization  right now.","You can't do product customization  right now."
