"Customization","Anpassung"
"Please login to your account to raise a customization request","Bitte melden Sie sich bei Ihrem Konto an, um eine Anpassungsanfrage zu stellen"
"Go to Login","Zur Anmeldung gehen"
"Email","Email"
"Password","Passwort"
"Show Password","Passwort anzeigen"
"Customization details","Anpassungsdetails"
"Name","Name"
"Phone","Telefon"
"Query","Anfrage"
"I'm not a robot","Ich bin kein Roboter"
"Submit","Einreichen"
"This is a required field.","Das ist ein Pflichtfeld."
"Please enter a valid email address","Bitte geben Sie eine gültige E-Mail-Adresse ein"
"Enter a valid phone number!","Geben Sie eine gültige Telefonnummer ein!"
"Request Sent Successfully.","Anfrage erfolgreich gesendet"
"Please enter a valid email address (Ex: johndoe@domain.com).","Bitte geben Sie eine gültige E-Mail-Adresse ein (Beispiel: johndoe@domain.com)."
"Please enter at least 10 characters.","Bitte geben Sie mindestens 10 Zeichen ein."
"Please enter no more than 15 characters.","Bitte geben Sie nicht mehr als 15 Zeichen ein."
"Customer Login","Kundenlogin"
"Registered Customers","Registrierte Kunden"
"If you have an account, sign in with your email address.","Wenn Sie ein Konto haben, melden Sie sich mit Ihrer E-Mail-Adresse an."
"Sign In","Einloggen"
"New Customers","Neue Kunden"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Das Erstellen eines Kontos hat viele Vorteile: Bezahle schneller, behalte mehr als eine Adresse, verfolge Bestellungen und mehr."
"Create an Account","Ein Konto erstellen"
"You can't do product customization  right now.","Sie können derzeit keine Produktanpassungen vornehmen."
